seed,T1_ospa2d,T1_compl,T1_amb,T1_spur,T1_pa2d,T1_va2d,T1_t2t,T2_ospa2d,T2_compl,T2_amb,T2_spur,T2_pa2d,T2_va2d,T2_t2t,Tf_ospa2d,Tf_compl,Tf_amb,Tf_spur,Tf_pa2d,Tf_va2d,Tf_t2t,T1_ospa3d,T1_pa3d,T1_va3d,Tf_ospa3d,Tf_pa3d,Tf_va3d,radar_ntracks,rfdoa_ntracks,fused_ntracks
538,20.535360650626956,0.82,1.0,0.18,16.720087276878786,3.395345716663872,1.0,47.53243030188555,0.12,1.0,0.9390862944162437,19.180056560742965,4.680092915661266,1.97,25.008542339123427,0.67,1.0,0.28214285714285714,17.76101816884509,3.258574960260985,0.9333333333333333,32.94511579552434,31.107995680333243,4.2003718078451415,39.55286675645077,33.33036774608541,4.052344418719774,1,3,1
62,15.488938762610106,0.89,1.0,0.11,13.399285915293916,3.5035641644139757,1.0,45.12931319921524,0.09,1.0,0.8810572687224669,15.057321323761538,5.339138873359473,0.7566666666666667,18.37819439773814,0.8266666666666667,1.0,0.11743772241992882,13.279942166725457,3.6463262667690644,0.9366666666666666,35.757689714972344,35.757689714972365,4.264217637476617,40.26555897414004,36.22657541723135,4.304982379459583,1,1,1
26,31.972608611907592,0.4866666666666667,1.0,0.13609467455621302,14.757801923606054,3.249104096229759,0.5633333333333334,nan,nan,nan,nan,nan,nan,nan,33.265904281094215,0.44666666666666666,1.0,0.12987012987012986,14.428492253902238,3.375572083780133,0.5133333333333333,67.24864815788358,41.20028038909638,4.973114384178866,69.23479779405652,40.096983458652424,4.22855482894205,1,0,1
46,32.330092400203846,0.4766666666666667,1.0,0.1875,15.031499796697332,3.375782976506997,0.5866666666666667,nan,nan,nan,nan,nan,nan,nan,34.361430217464616,0.44,1.0,0.175,15.659632592418014,3.5275762554494414,0.5333333333333333,62.017571008657434,31.76809163231872,4.350274089319758,66.40214370918238,32.35330948157525,4.393953562283735,1,0,1
64,25.872848807335668,0.6233333333333333,1.0,0.36177474402730375,16.73862707096103,3.532276759812962,0.9766666666666667,48.43189603376633,0.09666666666666666,1.0,0.9510961214165261,19.973438984627652,5.170310114713788,1.9766666666666666,28.168060983854588,0.58,1.0,0.36496350364963503,16.179378503339223,3.5875781797930366,0.9133333333333333,47.38206220546273,42.61878865865649,4.832767813604495,50.7543666436135,42.99008934815328,5.000552307518476,1,3,1
3,20.189134890069155,0.8033333333333333,1.0,0.19666666666666666,15.338138612407716,3.3065478235157055,1.0,nan,nan,nan,nan,nan,nan,nan,22.62203506349816,0.71,1.0,0.2392857142857143,15.00682154886774,3.341535343079915,0.9333333333333333,44.02770847095447,40.029687647451205,4.688655702024334,47.831025203942424,40.94078324974615,4.391342030417686,1,0,1
17,20.65948129606265,0.7866666666666666,1.0,0.21333333333333335,14.778690356595863,3.827483069659739,1.0,40.76389197467957,0.19333333333333333,1.0,0.7935943060498221,19.991764836861922,5.622882102358236,0.9366666666666666,23.844013235577176,0.66,1.0,0.29537366548042704,14.174984968187447,4.003704033763363,0.9366666666666666,33.509872770098944,30.979106681763632,4.732544768031858,38.7874446313466,31.552999078153825,4.7723363473968545,1,1,1
71,20.488739588698568,0.8366666666666667,1.00398406374502,0.2125,16.209462700476344,3.722048309248887,1.0666666666666667,44.27014611659644,0.16,1.0,0.8961038961038961,18.58740342667025,4.8481781445998235,1.54,21.840344145022815,0.7566666666666667,1.0,0.17753623188405798,14.941079258986035,3.5164382931737057,0.92,32.55086255537699,30.717339087638802,5.172552861156445,35.80055328434574,29.45115745532497,4.416606043768938,2,2,2
19,33.15729833179925,0.46,1.0,0.3920704845814978,18.51926642813054,3.3342827926039025,0.7566666666666667,nan,nan,nan,nan,nan,nan,nan,35.15076980212975,0.41333333333333333,1.0,0.41232227488151657,19.19753587669071,3.2407482930644047,0.7033333333333334,73.7877816500185,54.55483280863823,5.796787439850789,75.00899665134045,51.915060976555424,4.441117487996813,1,0,1
11,29.66491958633567,0.56,1.0,0.288135593220339,17.2594733610644,3.3406002594830593,0.7866666666666666,46.91018911017923,0.07,1.0,0.908695652173913,19.151985014177438,7.366733868036694,0.7666666666666667,32.84512433867446,0.47333333333333333,1.0,0.3688888888888889,17.570253618521907,3.404005829970768,0.75,59.29643963451575,43.4199129484745,4.865446689941341,62.874597321587075,43.209295888386706,4.70342387042873,1,1,1
167,27.37067113882007,0.5933333333333334,1.0,0.35036496350364965,18.256790638015364,3.3615641382019925,0.9133333333333333,39.627791866096544,0.18333333333333332,1.0,0.7843137254901961,16.85816561683926,5.0614041893579955,0.85,27.995828551666115,0.6233333333333333,1.0,0.277992277992278,18.69265842952672,3.4310180324132027,0.8633333333333333,44.684479181522086,39.46148271786645,4.941382411015961,48.295216931046426,40.13835405154608,4.725858465483117,1,1,1
716,38.050781590731575,0.3,1.0,0.4155844155844156,17.986266467051514,3.5877449237647046,0.5133333333333333,nan,nan,nan,nan,nan,nan,nan,38.921981786207546,0.29333333333333333,1.0,0.36231884057971014,18.425012119412205,3.7563716436594237,0.46,72.34027037600053,46.30230610728314,5.288127656608179,74.81491771178781,45.442510635684634,4.761926203683135,1,0,1
73,40.31645819114504,0.21333333333333335,1.0,0.6167664670658682,16.296257691347158,3.984353837558239,0.5566666666666666,nan,nan,nan,nan,nan,nan,nan,41.974738961524224,0.19333333333333333,1.0,0.532258064516129,16.73042504068013,3.8764777474294743,0.41333333333333333,75.26638798525057,42.57019265765864,6.796303935527471,79.52129249322293,41.53524744809209,5.697206620578247,2,0,2
49,30.21737996367302,0.5433333333333333,1.0,0.37786259541984735,18.42514812363955,3.3489055827232197,0.8733333333333333,47.25334299284584,0.06333333333333334,1.0,0.9526184538653366,20.663049479217396,9.100011100193793,1.3366666666666667,36.791549396618386,0.29333333333333333,1.0,0.6857142857142857,16.312239151135014,3.943457691206065,0.9333333333333333,58.544238228178536,43.033095573827175,4.893542847928916,76.85459930076362,38.00339098418827,4.4472733292357045,2,2,1
